Group;NSAID;SKELETAL MUSCLE RELAXANT;ANTIDEPRESSANT;BENZODIAZEPINE;OTHER OPIOID;COSTERIOID;NONPHARMACOLOGICAL TREATMENT;CHRONIC LOW BACK PAIN;LOW BACK PAIN;Blacklist
OXYCODONE-ACETAMINOPHEN;NAPROXEN;CYCLOBENZAPRINE;SERTRALINE;DIAZEPAM;FENTANYL;TRIAMCINOLONE;THERAPEUTIC EXERCISE;CHRONIC LOW BACK PAIN;low back pain;NOT AVAILABLE
TRAMADOL;ASPIRIN;METHOCARBAMOL;ESCITALOPRAM;CLONAZEPAM;BUPRENORPHINE;PREDNISONE;ACUPUNCTURE;;lumbago;Diastolic Blood Pressure
OXYCODONE;IBUPROFEN;ONABOTULINUMTOXINA;TRAZODONE;ALPRAZOLAM;HYDROMORPHONE;DEXAMETHASONE;MASSAGE THERAPY;;;Systolic Blood Pressure
ACETAMINOPHEN;DICLOFENAC;Dysport;citalopram;clobazam;MORPHINE;METHYLPREDNISOLONE;REHABILITATION;;;PULSE
DULOXETINE;KETOROLAC;Gablofen;fluoxetine;clorazepate;CODEINE;PREDNISOLONE ACETATE;yoga;;;Temperature, Tympanic
BACLOFEN;MELOXICAM;Soma;fluvoxamine;chlordiazepoxide;Tapentadol;Prednisolone;cognitive behavioral therapy;;;Respirations
CHRONIC LOW BACK PAIN;acetylsalicylic acid;Lorzone;paroxetine;estazolam;Oxymorphone;bethamethasone;cognitive-behavioral therapy;;;O2 SATURATION
ULTRASOUND;Diflunisal;Amrix;vilazodone;lorazepam;Butorphanol;Celestone;progressive relaxation;;;HEIGHT
RADICULOPATHY;Dolobid;Dantrium;Celexa;oxazepam;Dextromoramide;Orapred;transcutaneous electrical nerve stimulation;;;WEIGHT
IMAGING;Salicylic acid;Botox;Lexapro;temazepam;Dezocine;Prelone;;;;R APACHE TEMPERATURE
SPINAL MANIPULATION;Salsalate;Norflex;Prozac;triazolam;Meperidine;Intensol;;;;TEMPERATURE
CARDIOVASCULAR STRESS TEST;Disalcid;Skelaxin;Luvox;Xanax;Meptazinol;Aristospan;;;;
DANTROLENE;Fenoprofen;Robaxin;Brisdelle;Onfi;Nalbuphine;Kenalog;;;;
TIZANIDINE;Ketoprofen;Mybloc;Zoloft;Klonopin;Opium;Intralesional;;;;
GABAPENTIN;Dexketoprofen;Zanaflex;Viibrid;Tranxene;Papaveretum;Aristospan;;;;
SPINAL STENOSIS;Flurbiprofen;abobotulinumtoxinA;desvenlafaxine;Librium;Pentazocine;Medrol;;;;
BACK PAIN;Oxaprozin;carisoprodol;levomilnacipran;Valium;Phenazocine;Depo-Medrol;;;;
PAIN SCORE;Loxoprofen;chlorzoxazone;venlafaxine;Diastat;Pirinitramide;Solu-Medrol;;;;
;Indomethacin;cyclobenzaprine;Khedezla;Prosom;Propoxyphene;DexPak;;;;
;Tolmetin;orphenadrine;Cymbalta;Ativan;Tilidine;;;;;
;Sulindac;metaxalone;Fetzima;Serax;;;;;;
;Etodolac;rimabotulinumtoxinB;Savella;Restoril;;;;;;
;Aceclofenac;tizanidine;Effexor;Halcion;;;;;;
;Nabumetone;Vanadom;Pristiq;;;;;;;
;Piroxicam;Lioresal;Irenka;;;;;;;
;Tenoxicam;Fexmid;Sarafem;;;;;;;
;Droxicam;Flexeril;Pexeva;;;;;;;
;Lornoxicam;;Paxil;;;;;;;
;Isoxicam;;;;;;;;;
;Phenylbutazone;;;;;;;;;
;Bute;;;;;;;;;
;Mefenamic acid;;;;;;;;;
;Meclofenamic acid;;;;;;;;;
;Flufenamic acid;;;;;;;;;
;Tolfenamic acid;;;;;;;;;
;Celecoxib;;;;;;;;;
;Rofecoxib;;;;;;;;;
;Valdecoxib;;;;;;;;;
;Parecoxib;;;;;;;;;
;Lumiracoxib;;;;;;;;;
;Etoricoxib;;;;;;;;;
;Firocoxib;;;;;;;;;
;Nimesulide;;;;;;;;;
;Clonixin;;;;;;;;;
;Licofelone;;;;;;;;;
;Tiaprofenic acid;;;;;;;;;
;Tiaprofenic acid;;;;;;;;;
;Dysport;;;;;;;;;
;Gablofen;;;;;;;;;
;Soma;;;;;;;;;
;Lorzone;;;;;;;;;
;Amrix;;;;;;;;;
;Dantrium;;;;;;;;;
;Botox;;;;;;;;;
;Norflex;;;;;;;;;
;Skelaxin;;;;;;;;;
;Robaxin;;;;;;;;;
;Mybloc;;;;;;;;;
;Zanaflex;;;;;;;;;
;abobotulinumtoxinA;;;;;;;;;
;baclofen;;;;;;;;;
;carisoprodol;;;;;;;;;
;chlorzoxazone;;;;;;;;;
