PROCEDURE_CODE,CPT4_CODE,CPT4_DESCRIPTION
132,00103,"Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)"
146,00164,"Anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue"
147,0016T,"Destruction of localized lesion of choroid (eg, choroidal neovascularization), transpupillary thermotherapy"
155,0019T,"Extracorporeal shock wave involving musculoskeletal system, not otherwise specified, low energy"
164,0024T,"Non-surgical septal reduction therapy (eg, alcohol ablation), for hypertrophic obstructive cardiomyopathy, with coronary arteriograms, with or without temporary pacemaker"
165,0026T,"Lipoprotein, direct measurement, intermediate density lipoproteins (IDL) (remnant lipoproteins)"
167,0028T,"Dual energy x-ray absorptiometry (DEXA) body composition study, one or more sites"
169,00300,"Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified"
170,0030T,"Antiprothrombin (phospholipid cofactor) antibody, each Ig class"
173,00322,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid"
175,0032T,Speculoscopy; with directed sampling
183,0041T,"Urinalysis infectious agent detection, semi-quantitative analysis of volatile compounds"
184,0042T,"Cerebral perfusion analysis using computed tomography with contrast administration, including post-processing of parametric maps with determination of cerebral blood flow, cerebral blood volume, and mean transit time"
185,0043T,"Carbon monoxide, expired gas analysis (eg, ETCOc/hemolysis breath test)"
198,0051T,Implantation of a total replacement heart system (artificial heart) with recipient cardiectomy
200,00522,Anesthesia for closed chest procedures; needle biopsy of pleura
202,00528,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing one lung ventilation
210,0053T,"Replacement or repair of implantable component or components of total replacement heart system (artificial heart), excluding thoracic unit"
220,00561,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, younger than one year of age"
223,00566,Anesthesia for direct coronary artery bypass grafting without pump oxygenator
236,0062T,"Percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; single level"
240,00635,Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture
241,0063T,"Percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; 1 or more additional levels (List separately in addition to 0062T for primary procedure)"
242,00640,"Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine"
245,0066T,"Computed tomographic (CT) colonography (ie, virtual colonoscopy); screening"
247,0067T,"Computed tomographic (CT) colonography (ie, virtual colonoscopy); diagnostic"
253,0071T,"Focused ultrasound ablation of uterine leiomyomata, including MR guidance; total leiomyomata volume less than 200 cc of tissue"
254,0072T,"Focused ultrasound ablation of uterine leiomyomata, including MR guidance; total leiomyomata volume greater or equal to 200 cc of tissue"
257,00740,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum"
263,0075T,"Transcatheter placement of extracranial vertebral or intrathoracic carotid artery stent(s), including radiologic supervision and interpretation, percutaneous; initial vessel"
264,0076T,"Transcatheter placement of extracranial vertebral or intrathoracic carotid artery stent(s), including radiologic supervision and interpretation, percutaneous; each additional vessel (List separately in addition to code for primary procedure)"
267,0078T,"Endovascular repair using prosthesis of abdominal aortic aneurysm, pseudoaneurysm or dissection, abdominal aorta involving visceral branches (superior mesenteric, celiac and/or renal artery(s))"
272,00797,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity
273,0079T,"Placement of visceral extension prosthesis for endovascular repair of abdominal aortic aneurysm involving visceral vessels, each visceral branch (List separately in addition to code for primary procedure)"
276,0080T,"Endovascular repair of abdominal aortic aneurysm, pseudoaneurysm or dissection, abdominal aorta involving visceral vessels (superior mesenteric, celiac or renal), using fenestrated modular bifurcated prosthesis (two docking limbs), radiological supervision and interpretation"
277,00810,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum"
278,0081T,"Placement of visceral extension prosthesis for endovascular repair of abdominal aortic aneurysm involving visceral vessels, each visceral branch, radiological supervision and interpretation (List separately in addition to code for primary procedure)"
289,0084T,Insertion of a temporary prostatic urethral stent
293,00862,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper one-third of ureter, or donor nephrectomy"
305,0088T,"Submucosal radiofrequency tissue volume reduction of tongue base, one or more sites, per session (ie, for treatment of obstructive sleep apnea syndrome)"
306,0089T,"Actigraphy testing, recording, analysis and interpretation (minimum of three-day recording)"
307,00902,Anesthesia for; anorectal procedure
315,00916,Anesthesia for transurethral procedures (including urethrocystoscopy); post-transurethral resection bleeding
318,00921,"Anesthesia for procedures on male genitalia (including open urethral procedures); vasectomy, unilateral or bilateral"
319,00922,Anesthesia for procedures on male genitalia (including open urethral procedures); seminal vesicles
331,00942,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); colpotomy, vaginectomy, colporrhaphy, and open urethral procedures"
339,0099T,Implantation of intrastromal corneal ring segments
378,0103T,"Holotranscobalamin, quantitative"
384,0109T,"Quantitative sensory testing (QST), testing and interpretation per extremity; using heat-pain stimuli to assess small nerve fiber sensation and hyperalgesia"
386,01112,"Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest"
396,01173,Anesthesia for open repair of fracture disruption of pelvis or column fracture involving acetabulum
410,0123T,"Fistulization of sclera for glaucoma, through ciliary body"
414,0126T,Common carotid intima-media thickness (IMT) study for evaluation of atherosclerotic burden or coronary heart disease risk factor assessment
419,01320,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of knee and/or popliteal area"
442,0144T,"Computed tomography, heart, without contrast material, including image postprocessing and quantitative evaluation of coronary calcium"
446,0146T,"Computed tomography, heart, without contrast material followed by contrast material(s) and further sections, including cardiac gating and 3D image postprocessing; computed tomographic angiography of coronary arteries (including native and anomalous coronary arteries, coronary bypass grafts), without quantitative evaluation of coronary calcium"
470,0159T,"Computer-aided detection, including computer algorithm analysis of MRI image data for lesion detection/characterization, pharmacokinetic analysis, with further physician review for interpretation, breast MRI (List separately in addition to code for primary procedure)"
475,01622,Anesthesia for diagnostic arthroscopic procedures of shoulder joint
495,0169T,"Stereotactic placement of infusion catheter(s) in the brain for delivery of therapeutic agent(s), including computerized stereotactic planning and burr hole(s)"
516,01830,"Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; not otherwise specified"
526,01920,Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include Swan-Ganz catheter)
527,01922,Anesthesia for non-invasive imaging or radiation therapy
532,01931,"Anesthesia for therapeutic interventional radiologic procedures involving the venous/lymphatic system (not to include access to the central circulation); intrahepatic or portal circulation (eg, transcutaneous porto-caval shunt (TIPS))"
544,01966,Anesthesia for induced abortion procedures
545,01967,Neuraxial labor analgesia/anesthesia for planned vaginal delivery (this includes any repeat subarachnoid needle placement and drug injection and/or any necessary replacement of an epidural catheter during labor)
546,01968,Anesthesia for cesarean delivery following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed)
549,01991,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different provider); other than the prone position
550,01992,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different provider); prone position
552,01999,Unlisted anesthesia procedure(s)
685,0502F,"Subsequent prenatal care visit (Prenatal) [Excludes: patients who are seen for a condition unrelated to pregnancy or prenatal care (eg, an upper respiratory infection; patients seen for consultation only, not for continuing care)]"
686,0503F,Postpartum care visit (Prenatal)
909,1000F,"Tobacco use assessed (CAD, CAP, COPD, PV) (DM)"
923,10021,Fine needle aspiration; without imaging guidance
925,10022,Fine needle aspiration; with imaging guidance
934,1002F,Anginal symptoms and level of activity assessed (CAD)
949,10040,"Acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)"
978,10060,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single"
982,10061,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
994,1006F,"Osteoarthritis symptoms and functional status assessed (may include the use of a standardized scale or the completion of an assessment questionnaire, such as the SF-36, AAOS Hip & Knee Questionnaire) (OA) [Instructions: Report when osteoarthritis is addressed during the patient encounter]"
1013,10080,Incision and drainage of pilonidal cyst; simple
1016,10081,Incision and drainage of pilonidal cyst; complicated
1060,10120,"Incision and removal of foreign body, subcutaneous tissues; simple"
1063,10121,"Incision and removal of foreign body, subcutaneous tissues; complicated"
1084,10140,"Incision and drainage of hematoma, seroma or fluid collection"
1106,10160,"Puncture aspiration of abscess, hematoma, bulla, or cyst"
1126,10180,"Incision and drainage, complex, postoperative wound infection"
1350,1036F,"Current tobacco non-user (CAD, CAP, COPD, PV) (DM)"
2079,11000,Debridement of extensive eczematous or infected skin; up to 10% of body surface
2081,11001,Debridement of extensive eczematous or infected skin; each additional 10% of the body surface (List separately in addition to code for primary procedure)
2085,11004,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia and perineum"
2087,11005,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; abdominal wall, with or without fascial closure"
2088,11006,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia, perineum and abdominal wall, with or without fascial closure"
2090,11008,"Removal of prosthetic material or mesh, abdominal wall for necrotizing soft tissue infection (List separately in addition to code for primary procedure)"
2097,11010,Debridement including removal of foreign material associated with open fracture(s) and/or dislocation(s); skin and subcutaneous tissues
2099,11011,"Debridement including removal of foreign material associated with open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, and muscle"
2101,11012,"Debridement including removal of foreign material associated with open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, muscle, and bone"
2134,11040,"Debridement; skin, partial thickness"
2136,11041,"Debridement; skin, full thickness"
2138,11042,"Debridement; skin, and subcutaneous tissue"
2140,11043,"Debridement; skin, subcutaneous tissue, and muscle"
2142,11044,"Debridement; skin, subcutaneous tissue, muscle, and bone"
2158,11055,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion"
2213,11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion"
2215,11101,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; each separate/additional lesion (List separately in addition to code for primary procedure)"
2358,11200,"Removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions"
2360,11201,"Removal of skin tags, multiple fibrocutaneous tags, any area; each additional ten lesions (List separately in addition to code for primary procedure)"
2388,11300,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less"
2389,11301,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm"
2390,11302,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm"
2391,11303,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm"
2392,11305,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less"
2393,11306,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm"
2394,11307,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm"
2395,11308,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 2.0 cm"
2402,11310,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less"
2403,11311,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm"
2404,11312,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm"
2405,11313,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 2.0 cm"
